beam_id,type,Designation,Depth,Area,I_xx,I_yy,material,E,Yield_Stress,Density,Cost_Per_m,env_suitability
1,W,W200x22,0.203,0.0028,1.72E-05,1.35E-06,Steel,2E+11,345000000,7850,24.178,"['Indoor','Outdoor','Seismic']"
2,W,W250x33,0.254,0.0042,4.01E-05,3.10E-06,Steel,2E+11,345000000,7850,36.267,"['Indoor','Outdoor','Seismic']"
3,W,W310x39,0.307,0.00497,7.56E-05,5.20E-06,Steel,2E+11,345000000,7850,42.91595,"['Indoor','Outdoor','Seismic']"
4,W,W360x51,0.357,0.0065,0.000132,8.90E-06,Steel,2E+11,345000000,7850,56.1275,"['Indoor','Outdoor','Seismic']"
5,W,W410x53,0.409,0.0065,0.000171,1.30E-05,Steel,2E+11,345000000,7850,56.1275,"['Indoor','Outdoor','Seismic']"
6,HSS,HSS100x50x6,0.1,0.0017,2.10E-06,5.20E-07,Steel,2E+11,317000000,7850,14.6795,"['Indoor','Outdoor']"
7,HSS,HSS150x100x6,0.15,0.0029,7.80E-06,2.60E-06,Steel,2E+11,317000000,7850,25.0415,"['Indoor','Outdoor']"
8,HSS,HSS200x100x6,0.2,0.0035,1.45E-05,4.10E-06,Steel,2E+11,317000000,7850,30.2225,"['Indoor','Outdoor']"
9,HSS,HSS200x150x8,0.2,0.0052,2.48E-05,1.12E-05,Steel,2E+11,317000000,7850,44.902,"['Indoor','Outdoor']"
10,HSS,HSS300x200x10,0.3,0.009,8.20E-05,4.10E-05,Steel,2E+11,317000000,7850,77.715,"['Indoor','Outdoor']"
11,CHS,CHS88.9x6,0.0889,0.00156,1.10E-06,1.10E-06,Steel,2E+11,317000000,7850,13.4706,"['Outdoor','Marine']"
12,CHS,CHS114.3x6,0.1143,0.0021,2.80E-06,2.80E-06,Steel,2E+11,317000000,7850,18.1335,"['Outdoor','Marine']"
13,CHS,CHS168.3x8,0.1683,0.0039,9.20E-06,9.20E-06,Steel,2E+11,317000000,7850,33.6765,"['Outdoor','Marine']"
14,CHS,CHS219.1x8,0.2191,0.0052,1.95E-05,1.95E-05,Steel,2E+11,317000000,7850,44.902,"['Outdoor','Marine']"
15,CHS,CHS273.0x10,0.273,0.0082,4.20E-05,4.20E-05,Steel,2E+11,317000000,7850,70.807,"['Outdoor','Marine']"
